DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean,Borough
03M470,LOUIS D BRANDEIS HIGH SCHOOL ,170,357,357,345,Manhattan
03M479,BEACON SCHOOL ,237,573,563,575,Manhattan
03M485,LAGUARDIA HIGH SCH MUSIC ART ,594,558,555,567,Manhattan
03M494,Martin Luther King Jr HS Arts and Technology ,60,407,425,397,Manhattan
03M505,Edward A. Reynolds West Side High School ,18,410,407,388,Manhattan
03M541,MANHATTAN/HUNTER COLL HS SCI ,80,481,525,469,Manhattan
03M860,FREDERICK DOUGLAS ACADEMY II ,33,414,410,406,Manhattan
04M409,COALITION SCH SOCIAL CHANGE ,39,390,372,383,Manhattan
04M435,Manhattan Center for Science and Math ,312,485,531,475,Manhattan
04M495,PARK EAST HIGH SCHOOL ,46,360,374,362,Manhattan
04M555,CENTRAL PARK SECONDARY SCHOOL ,35,362,378,356,Manhattan
04M610,YOUNG WOMEN LEADERSHIP SCHOOL ,48,451,445,470,Manhattan
04M610,Young Women's Leadership School of Astoria ,,,,,Manhattan
04M635,Academy of Environment Science Secondary School ,39,380,385,354,Manhattan
04M680,HERITAGE SCHOOL ,47,369,385,361,Manhattan
04M695,URBAN PEACE ACADEMY ,23,366,382,362,Manhattan
05M285,HARLEM RENAISSANCE HIGH SCHOOL ,19,402,394,367,Manhattan
05M304,MOTT HALL HIGH SCHOOL ,63,424,421,410,Manhattan
05M367,Academy for Social Action ,,,,,Manhattan
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMIN ,34,349,370,363,Manhattan
05M469,CHOIR ACADEMY OF HARLEM ,16,420,369,401,Manhattan
05M499,FREDERICK DOUGLASS ACADEMY ,216,465,481,466,Manhattan
05M670,THURGOOD MARSHALL ACADEMY ,52,423,434,404,Manhattan
05M685,Bread & Rose Intergrated Arts High School ,54,364,378,359,Manhattan
05M692,High School For Math Science Engineering City Coll ,106,592,627,575,Manhattan
